a_id,a_text,a_q_id,MB,MB15,JM,SL,num_annotators,num_ratings,num_ratings-1,maxvotes,random,True Label,AsRRN Prediction,SFRN Prediction
R_XjgpcIgxPLOlhBL_q3_b,"Use the data the trained engineer gathers to determine what percent of display screens are bad, then determine whether to reject or accept the bulk order.",q3_b,1.0,,1.0,1.0,3,1,0,3,0,1,0,2
R_UYAIIF6Gu2SIJhL_q2_a,"Yes, because if she can correctly identify the notes during the test of not identification, it would be safe to assume that she has a good ear for music and could correctly identify notes in the future.",q2_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_3suHzxtuLtxpssL_q3_a,No it is worth going through by hand to see each screen because it is tough to put a number on random screens coming in.,q3_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_3s7z2L1LPSAentK_q2_a,You could calculate the chances of Carla getting the correct answer by chance.,q2_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_3Ny8iBQloIk5Ha2_q4_a,I think you should use statistical inference to determine who is the better Walleye fisherman. You can find the proportion of who would catch the bigger fish.,q4_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_3n60GTp9i2FtmH8_q2_a,"Yes, you could test several students to see what students could tell what notes were played, and which students could not.",q2_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_3KZMO16R6JknU0E_q3_b,You would want to test the 150 screens and show that more than 5 % of them would be bad. You would want to find the standard deviation and then the z-score and then find what % would actually be bad. If this is more than 5% then they would be able to reject there order.,q3_b,1.0,,1.0,1.0,3,1,0,3,0,1,0,2
R_3Jr8e0DIeLtMX2A_q3_b,"I would see how many of the screens were determined to be good and bad and if set an amount that would be the limit before rejecting the order. Say the limit is set for 30% of the 150 screens can be bad before the order is rejected, if the number is over that limit then the order will be rejected. This will be determined by using the numbers of bad and good screens.",q3_b,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_2YbapoGMkqpTrMY_q4_a,"Yes, you can measure the correlation between the location and the amount of larger fish that they caught.",q4_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_2RXutsynoYrAHJ0_q2_a,"Yes, statistical inference should be used to determine whether Carla has a ""good ear for music."" Because having a ""good ear for music"" is defined, and not an opinionated question in this context, there are testable strategies to reach results. In this scenario, they also list how the test will be conducted.",q2_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
R_2rBChiNigJQtsZY_q2_a,Statistical inference can be used to determine whether Carla has a good ear because the data could be use to determine if she got the notes right.,q2_a,1.0,,1.0,1.0,3,1,0,3,0,1,1,2
